,0,1,2,3,4
0,SZSE.000002,2015-01-01,2016-01-01,1.354,-0.099
1,SZSE.000333,2015-01-01,2016-01-01,0.956,-0.278
2,SZSE.002456,2015-01-01,2016-01-01,1.577,-0.108
3,SHSE.601318,2015-01-01,2016-01-01,0.923,-0.246
4,SHSE.600660,2015-01-01,2016-01-01,1.188,-0.108
5,SHSE.603288,2015-01-01,2016-01-01,1.498,-0.099
6,SZSE.000002,2015-12-31,2016-12-30,1.381,-0.092
7,SZSE.000333,2015-12-31,2016-12-30,0.948,-0.161
8,SZSE.002456,2015-12-31,2016-12-30,1.018,-0.168
9,SHSE.601318,2015-12-31,2016-12-30,0.91,-0.181
10,SHSE.600660,2015-12-31,2016-12-30,1.052,-0.08
11,SHSE.603288,2015-12-31,2016-12-30,0.972,-0.086
12,SZSE.000002,2016-12-29,2017-12-29,1.49,-0.11
13,SZSE.000333,2016-12-29,2017-12-29,0.95,-0.179
14,SZSE.002456,2016-12-29,2017-12-29,1.097,-0.164
15,SHSE.601318,2016-12-29,2017-12-29,1.052,-0.09
16,SHSE.600660,2016-12-29,2017-12-29,1.217,-0.093
17,SHSE.603288,2016-12-29,2017-12-29,1.015,-0.079
18,SZSE.000002,2017-12-28,2018-12-28,0.873,-0.303
19,SZSE.000333,2017-12-28,2018-12-28,0.883,-0.289
20,SZSE.002456,2017-12-28,2018-12-28,1.078,-0.14
21,SHSE.601318,2017-12-28,2018-12-28,0.85,-0.257
22,SHSE.600660,2017-12-28,2018-12-28,1.122,-0.118
23,SHSE.603288,2017-12-28,2018-12-28,1.216,-0.105
